benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,1,60,100000,0,746453,0,12440.9,0,0.0361981,0,0,0
single,1,60,100000,0,766129,0,12768.8,0,0,0,0,0
single,1,60,100000,0,744634,0,12410.6,0,0.0395079,0,0,0
single,1,60,100000,0,739734,0,12328.9,0,0.0483778,0,0,0
single,1,60,100000,0,759302,0,12655,0,0.0126664,0,0,0
single,2,60,100000,0,749653,0,12494.2,0,0.500202,0,0,0
single,2,60,100000,0,739842,0,12330.7,0,0.509566,0,0,0
single,2,60,100000,0,739742,0,12329,0,0.5094,0,0,0
single,2,60,100000,0,742159,0,12369.3,0,0.508504,0,0,0
single,2,60,100000,0,737063,0,12284.4,0,0.512206,0,0,0
single,4,60,100000,0,740197,0,12336.6,0,0.754553,0,0,0
single,4,60,100000,0,751019,0,12517,0,0.750063,0,0,0
single,4,60,100000,0,749082,0,12484.7,0,0.750624,0,0,0
single,4,60,100000,0,753076,0,12551.3,0,0.749715,0,0,0
single,4,60,100000,0,746726,0,12445.4,0,0.750918,0,0,0
single,8,60,100000,0,1040132,0,17335.5,0,0.815026,0,0,0
single,8,60,100000,0,1026756,0,17112.6,0,0.815049,0,0,0
single,8,60,100000,0,1040400,0,17340,0,0.814246,0,0,0
single,8,60,100000,0,1031549,0,17192.5,0,0.814293,0,0,0
single,8,60,100000,0,1039491,0,17324.8,0,0.814318,0,0,0
single,16,60,100000,0,536381,0,8939.68,0,0.879745,0,0,0
single,16,60,100000,0,529600,0,8826.67,0,0.881278,0,0,0
single,16,60,100000,0,500275,0,8337.92,0,0.879307,0,0,0
single,16,60,100000,0,451886,0,7531.43,0,0.877229,0,0,0
single,16,60,100000,0,469583,0,7826.38,0,0.879099,0,0,0
single,32,60,100000,0,193981,0,3233.02,0,0.899575,0,0,0
single,32,60,100000,0,228211,0,3803.52,0,0.906697,0,0,0
single,32,60,100000,0,170326,0,2838.77,0,0.89336,0,0,0
single,32,60,100000,0,202089,0,3368.15,0,0.904189,0,0,0
single,32,60,100000,0,201780,0,3363,0,0.899748,0,0,0
single,64,60,100000,0,64921,0,1082.02,0,0.922699,0,0,0
single,64,60,100000,0,64218,0,1070.3,0,0.91897,0,0,0
single,64,60,100000,0,74635,0,1243.92,0,0.925174,0,0,0
single,64,60,100000,0,90314,0,1505.23,0,0.928047,0,0,0
single,64,60,100000,0,49352,0,822.533,0,0.915202,0,0,0
single,128,60,100000,0,38349,0,639.15,0,0.896397,0,0,0
single,128,60,100000,0,35042,0,584.033,0,0.912284,0,0,0
single,128,60,100000,0,40866,0,681.1,0,0.906954,0,0,0
single,128,60,100000,0,32931,0,548.85,0,0.918839,0,0,0
single,128,60,100000,0,43815,0,730.25,0,0.893278,0,0,0
mrv-flex-vector,1,60,100000,0,732195,0,12203.2,0,0.0543269,0.000729,0,0
mrv-flex-vector,1,60,100000,0,753343,0,12555.7,0,0.0167071,0.000691,0,0
mrv-flex-vector,1,60,100000,0,740520,0,12342,0,0.0390383,0.000736,0,0
mrv-flex-vector,1,60,100000,0,745791,0,12429.9,0,0.0307429,0.000742,0,0
mrv-flex-vector,1,60,100000,0,745336,0,12422.3,0,0.0313267,0.000765,0,0
mrv-flex-vector,2,60,100000,0,1172165,0,19536.1,0,0.215301,0.000251,0,0
mrv-flex-vector,2,60,100000,0,996709,0,16611.8,0,0.332681,0.000749,0,0
mrv-flex-vector,2,60,100000,0,1198629,0,19977.2,0,0.195426,0.000753,0,0
mrv-flex-vector,2,60,100000,0,754925,0,12582.1,0,0.498303,0.000678,0,0
mrv-flex-vector,2,60,100000,0,723954,0,12065.9,0,0.516046,0.000265,0,0
mrv-flex-vector,4,60,100000,0,1786231,0,29770.5,0,0.401452,0.000264,0,0
mrv-flex-vector,4,60,100000,0,2270372,0,37839.5,0,0.240848,0.00028,0,0
mrv-flex-vector,4,60,100000,0,1822084,0,30368.1,0,0.390247,0.000321,0,0
mrv-flex-vector,4,60,100000,0,1801153,0,30019.2,0,0.395999,0.000282,0,0
mrv-flex-vector,4,60,100000,0,1930932,0,32182.2,0,0.353044,0.000303,0,0
mrv-flex-vector,8,60,100000,0,2735013,0,45583.6,0,0.421145,0.001513,0,0
mrv-flex-vector,8,60,100000,0,970373,0,16172.9,0,0.810124,0.00043,0,0
mrv-flex-vector,8,60,100000,0,1009043,0,16817.4,0,0.811076,0.000369,0,0
mrv-flex-vector,8,60,100000,0,2889257,0,48154.3,0,0.399835,0.000383,0,0
mrv-flex-vector,8,60,100000,0,1004048,0,16734.1,0,0.81088,0.000379,0,0
mrv-flex-vector,16,60,100000,0,1121871,0,18697.8,0,0.454612,0.00046,0,0
mrv-flex-vector,16,60,100000,0,1048654,0,17477.6,0,0.256664,0.00058,0,0
mrv-flex-vector,16,60,100000,0,1256009,0,20933.5,0,0.31371,0.00031,0,0
mrv-flex-vector,16,60,100000,0,1271259,0,21187.7,0,0.364789,0.0003,0,0
mrv-flex-vector,16,60,100000,0,988645,0,16477.4,0,0.389549,0.000366,0,0
mrv-flex-vector,32,60,100000,0,945618,0,15760.3,0,0.340907,0.000589,0,0
mrv-flex-vector,32,60,100000,0,835271,0,13921.2,0,0.355216,0.000684,0,0
mrv-flex-vector,32,60,100000,0,915189,0,15253.1,0,0.318616,0.000822,0,0
mrv-flex-vector,32,60,100000,0,959241,0,15987.4,0,0.41611,0.000492,0,0
mrv-flex-vector,32,60,100000,0,751227,0,12520.5,0,0.313835,0.000885,0,0
mrv-flex-vector,64,60,100000,0,169548,0,2825.8,0,0.43727,0.005982,0,0
mrv-flex-vector,64,60,100000,0,252773,0,4212.88,0,0.393591,0.006715,0,0
mrv-flex-vector,64,60,100000,0,129545,0,2159.08,0,0.484476,0.007355,0,0
mrv-flex-vector,64,60,100000,0,207222,0,3453.7,0,0.419869,0.007682,0,0
mrv-flex-vector,64,60,100000,0,168198,0,2803.3,0,0.44493,0.007842,0,0
mrv-flex-vector,128,60,100000,0,122057,0,2034.28,0,0.484843,0.007734,0,0
mrv-flex-vector,128,60,100000,0,62321,0,1038.68,0,0.568957,0.007852,0,0
mrv-flex-vector,128,60,100000,0,73035,0,1217.25,0,0.556418,0.007962,0,0
mrv-flex-vector,128,60,100000,0,55835,0,930.583,0,0.59636,0.006968,0,0
mrv-flex-vector,128,60,100000,0,91835,0,1530.58,0,0.518219,0.008331,0,0
pr-array,1,60,100000,0,756190,0,12603.2,0,0,0,0,0.017527
pr-array,1,60,100000,0,731741,0,12195.7,0,0.0497981,0,0,0.017876
pr-array,1,60,100000,0,752397,0,12540,0,0.0130052,0,0,0.017501
pr-array,1,60,100000,0,750022,0,12500.4,0,0.0177481,0,0,0.016897
pr-array,1,60,100000,0,737529,0,12292.1,0,0.039722,0,0,0.017572
pr-array,2,60,100000,0,735005,0,12250.1,0,0.501514,0,0,0.017153
pr-array,2,60,100000,0,735783,0,12263,0,0.499998,0,0,0.017898
pr-array,2,60,100000,0,738800,0,12313.3,0,0.501429,0,0,0.017179
pr-array,2,60,100000,0,730620,0,12177,0,0.500363,0,0,0.017847
pr-array,2,60,100000,0,735274,0,12254.6,0,0.500125,0,0,0.017904
pr-array,4,60,100000,0,2907608,0,48460.1,0,0.0132409,0,0,0.018634
pr-array,4,60,100000,0,2922087,0,48701.4,0,0.00492313,0,0,0.018748
pr-array,4,60,100000,0,2770526,0,46175.4,0,0.0442214,0,0,0.018289
pr-array,4,60,100000,0,2594427,0,43240.4,0,0.109778,0,0,0.01706
pr-array,4,60,100000,0,2658178,0,44303,0,0.0667113,0,0,0.018287
pr-array,8,60,100000,0,3788448,0,63140.8,0,0.0262356,0,0,0.062495
pr-array,8,60,100000,0,3837137,0,63952.3,0,0.0453057,0,0,0.055409
pr-array,8,60,100000,0,3416244,0,56937.4,0,0.0108996,0,0,0.077431
pr-array,8,60,100000,0,3750607,0,62510.1,0,0.0577517,0,0,0.059728
pr-array,8,60,100000,0,4022486,0,67041.4,0,0.0027111,0,0,0.053144
pr-array,16,60,100000,0,1485219,0,24753.7,0,0.0561141,0,0,0.514311
pr-array,16,60,100000,0,1319133,0,21985.5,0,0.130056,0,0,0.572477
pr-array,16,60,100000,0,1788341,0,29805.7,0,0.0334812,0,0,0.396707
pr-array,16,60,100000,0,1761754,0,29362.6,0,0.0871273,0,0,0.418562
pr-array,16,60,100000,0,1613024,0,26883.7,0,0.0551527,0,0,0.466818
pr-array,32,60,100000,0,830627,0,13843.8,0,0.157439,0,0,2.20746
pr-array,32,60,100000,0,980010,0,16333.5,0,0.0852112,0,0,1.70538
pr-array,32,60,100000,0,970923,0,16182,0,0.0877415,0,0,1.71745
pr-array,32,60,100000,0,989432,0,16490.5,0,0.129452,0,0,1.59631
pr-array,32,60,100000,0,879483,0,14658,0,0.0792059,0,0,1.91013
pr-array,64,60,100000,0,444776,0,7412.93,0,0.0434976,0,0,7.83509
