benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,8,60,10,0,988991,0,16483.2,0,0.75881,0,0,0
single,8,60,10,0,1024649,0,17077.5,0,0.759892,0,0,0
single,8,60,10,0,1000558,0,16676,0,0.756767,0,0,0
single,8,60,10,0,970510,0,16175.2,0,0.76083,0,0,0
single,8,60,10,0,1036162,0,17269.4,0,0.757078,0,0,0
single,8,60,1000,0,1023042,0,17050.7,0,0.762562,0,0,0
single,8,60,1000,0,1076554,0,17942.6,0,0.763673,0,0,0
single,8,60,1000,0,1085757,0,18096,0,0.760275,0,0,0
single,8,60,1000,0,1035505,0,17258.4,0,0.762578,0,0,0
single,8,60,1000,0,1068511,0,17808.5,0,0.75639,0,0,0
single,8,60,100000,0,1020668,0,17011.1,0,0.813037,0,0,0
single,8,60,100000,0,1027244,0,17120.7,0,0.813567,0,0,0
single,8,60,100000,0,1035267,0,17254.5,0,0.813327,0,0,0
single,8,60,100000,0,1009359,0,16822.7,0,0.814327,0,0,0
single,8,60,100000,0,1015047,0,16917.5,0,0.813318,0,0,0
single,8,60,10000000,0,13975,0,232.917,0,0.778244,0,0,0
single,8,60,10000000,0,10295,0,171.583,0,0.85947,0,0,0
single,8,60,10000000,0,16436,0,273.933,0,0.766657,0,0,0
single,8,60,10000000,0,11664,0,194.4,0,0.82031,0,0,0
single,8,60,10000000,0,10271,0,171.183,0,0.838574,0,0,0
mrv-flex-vector,8,60,10,0,1943730,0,32395.5,0,0.421167,0.000425,0,0
mrv-flex-vector,8,60,10,0,1860286,0,31004.8,0,0.420863,0.00027,0,0
mrv-flex-vector,8,60,10,0,1915052,0,31917.5,0,0.423959,0.000272,0,0
mrv-flex-vector,8,60,10,0,1950281,0,32504.7,0,0.424635,0.000263,0,0
mrv-flex-vector,8,60,10,0,1959221,0,32653.7,0,0.419777,0.000276,0,0
mrv-flex-vector,8,60,1000,0,2011164,0,33519.4,0,0.421549,0.000307,0,0
mrv-flex-vector,8,60,1000,0,2043770,0,34062.8,0,0.423116,0.000267,0,0
mrv-flex-vector,8,60,1000,0,2188221,0,36470.3,0,0.328874,0.000464,0,0
mrv-flex-vector,8,60,1000,0,2046617,0,34110.3,0,0.420613,0.000274,0,0
mrv-flex-vector,8,60,1000,0,2036602,0,33943.4,0,0.429482,0.000358,0,0
mrv-flex-vector,8,60,100000,0,2809006,0,46816.8,0,0.395892,0.000528,0,0
mrv-flex-vector,8,60,100000,0,989398,0,16490,0,0.811127,0.000362,0,0
mrv-flex-vector,8,60,100000,0,2647204,0,44120.1,0,0.446149,0.001524,0,0
mrv-flex-vector,8,60,100000,0,1008461,0,16807.7,0,0.810161,0.000346,0,0
mrv-flex-vector,8,60,100000,0,999585,0,16659.8,0,0.810536,0.00042,0,0
mrv-flex-vector,8,60,10000000,0,41643,0,694.05,0,0.331755,0.000581,0,0
mrv-flex-vector,8,60,10000000,0,34583,0,576.383,0,0.43695,0.007753,0,0
mrv-flex-vector,8,60,10000000,0,46478,0,774.633,0,0.253556,0.001,0,0
mrv-flex-vector,8,60,10000000,0,43531,0,725.517,0,0.296126,0.007788,0,0
mrv-flex-vector,8,60,10000000,0,43760,0,729.333,0,0.293396,0.007733,0,0
pr-array,8,60,10,0,2232617,0,37210.3,0,0.0487907,0,0,0.194123
pr-array,8,60,10,0,2246977,0,37449.6,0,0.0204156,0,0,0.191231
pr-array,8,60,10,0,2177147,0,36285.8,0,0.0590885,0,0,0.194088
pr-array,8,60,10,0,2268318,0,37805.3,0,0.0187409,0,0,0.185591
pr-array,8,60,10,0,2249669,0,37494.5,0,0.0446899,0,0,0.193948
pr-array,8,60,1000,0,2298786,0,38313.1,0,0.0199609,0,0,0.188134
pr-array,8,60,1000,0,2262606,0,37710.1,0,0.0400103,0,0,0.182741
pr-array,8,60,1000,0,2296599,0,38276.7,0,0.0202135,0,0,0.177662
pr-array,8,60,1000,0,2318279,0,38638,0,0.0514464,0,0,0.179444
pr-array,8,60,1000,0,2365436,0,39423.9,0,0.00921162,0,0,0.178055
pr-array,8,60,100000,0,3101587,0,51693.1,0,0.00726375,0,0,0.092906
pr-array,8,60,100000,0,3157851,0,52630.8,0,0.0483009,0,0,0.082104
pr-array,8,60,100000,0,3371238,0,56187.3,0,0.113732,0,0,0.06184
pr-array,8,60,100000,0,3671640,0,61194,0,0.0262062,0,0,0.066104
pr-array,8,60,100000,0,3181874,0,53031.2,0,0.133679,0,0,0.066213
pr-array,8,60,10000000,0,60115,0,1001.92,0,0.0602039,0,0,0.018232
pr-array,8,60,10000000,0,62149,0,1035.82,0,0.00277591,0,0,0.018526
pr-array,8,60,10000000,0,53153,0,885.883,0,0.245511,0,0,0.018384
pr-array,8,60,10000000,0,55560,0,926,0,0.187208,0,0,0.01798
pr-array,8,60,10000000,0,59365,0,989.417,0,0.0843398,0,0,0.018244
