benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,8,60,100000,80,651984,2706669,10866.4,45111.2,0.429945,0,0,0
single,8,60,100000,80,659318,2638992,10988.6,43983.2,0.434556,0,0,0
single,8,60,100000,80,658330,2633691,10972.2,43894.8,0.434919,0,0,0
single,8,60,100000,80,662746,2644251,11045.8,44070.8,0.435292,0,0,0
single,8,60,100000,85,553484,3214540,9224.73,53575.7,0.357446,0,0,0
single,8,60,100000,85,564856,3199026,9414.27,53317.1,0.360734,0,0,0
single,8,60,100000,85,563205,3202238,9386.75,53370.6,0.359923,0,0,0
single,8,60,100000,85,565383,3195193,9423.05,53253.2,0.360799,0,0,0
single,8,60,100000,85,565886,3204740,9431.43,53412.3,0.360897,0,0,0
single,8,60,100000,90,429873,3867973,7164.55,64466.2,0.268003,0,0,0
single,8,60,100000,90,423608,3860766,7060.13,64346.1,0.26711,0,0,0
single,8,60,100000,90,425336,3858158,7088.93,64302.6,0.267359,0,0,0
single,8,60,100000,90,427614,3900162,7126.9,65002.7,0.266365,0,0,0
single,8,60,100000,90,431492,3901367,7191.53,65022.8,0.267376,0,0,0
single,8,60,100000,95,245696,4800386,4094.93,80006.4,0.148971,0,0,0
single,8,60,100000,95,248338,4774468,4138.97,79574.5,0.150363,0,0,0
single,8,60,100000,95,237701,4795767,3961.68,79929.4,0.146738,0,0,0
single,8,60,100000,95,246219,4777056,4103.65,79617.6,0.149656,0,0,0
single,8,60,100000,95,239967,4797778,3999.45,79963,0.147624,0,0,0
single,8,60,100000,100,0,5925975,0,98766.2,0,0,0,0
single,8,60,100000,100,0,5902511,0,98375.2,0,0,0,0
single,8,60,100000,100,0,5933370,0,98889.5,0,0,0,0
single,8,60,100000,100,0,5889698,0,98161.6,0,0,0,0
single,8,60,100000,100,0,5914967,0,98582.8,0,0,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,0,1868754,0,31145.9,0,0.105747,0.012659,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,0,1696951,0,28282.5,0,0.116002,0.014845,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,0,2549425,0,42490.4,0,0.0809728,0.012916,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,0,2454614,0,40910.2,0,0.0978635,0.014893,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,0,1786987,0,29783.1,0,0.106429,0.014137,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,5,1149148,60813,19152.5,1013.55,0.350515,0.011733,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,5,913712,48055,15228.5,800.917,0.356988,0.01297,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,5,1202620,63218,20043.7,1053.63,0.342755,0.012272,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,5,1228697,64384,20478.3,1073.07,0.361998,0.013338,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,5,1114234,58741,18570.6,979.017,0.375064,0.013543,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,10,902141,100011,15035.7,1666.85,0.388234,0.013627,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,10,1055351,116842,17589.2,1947.37,0.417895,0.013725,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,10,944068,105328,15734.5,1755.47,0.397656,0.012773,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,10,862017,95499,14367,1591.65,0.390188,0.013024,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,10,885911,98389,14765.2,1639.82,0.398104,0.013541,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,15,705002,124348,11750,2072.47,0.398576,0.012846,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,15,836256,148493,13937.6,2474.88,0.407845,0.012662,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,15,816779,144483,13613,2408.05,0.418433,0.013296,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,15,817208,143575,13620.1,2392.92,0.415362,0.013081,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,15,848740,149058,14145.7,2484.3,0.415632,0.01332,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,20,769358,192305,12822.6,3205.08,0.440067,0.013793,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,20,663109,165562,11051.8,2759.37,0.433844,0.012831,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,20,743996,185267,12399.9,3087.78,0.393148,0.012448,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,20,743363,185381,12389.4,3089.68,0.433089,0.013692,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,20,719322,179767,11988.7,2996.12,0.409202,0.012795,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,25,774620,258149,12910.3,4302.48,0.439271,0.012858,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,25,707612,236005,11793.5,3933.42,0.44665,0.014177,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,25,785236,262876,13087.3,4381.27,0.445134,0.01384,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,25,677245,224623,11287.4,3743.72,0.461124,0.013184,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,25,713150,237483,11885.8,3958.05,0.437512,0.013866,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,30,637821,274036,10630.4,4567.27,0.445212,0.013211,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,30,596694,254726,9944.9,4245.43,0.454526,0.013583,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,30,528542,226856,8809.03,3780.93,0.435032,0.014171,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,30,677403,289843,11290,4830.72,0.446468,0.013266,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,30,595982,256258,9933.03,4270.97,0.419643,0.013853,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,35,561364,301377,9356.07,5022.95,0.438629,0.01327,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,35,703967,378451,11732.8,6307.52,0.450679,0.014207,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,35,573696,308059,9561.6,5134.32,0.441922,0.014523,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,35,633620,341620,10560.3,5693.67,0.434124,0.0143,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,35,610782,329420,10179.7,5490.33,0.446019,0.013667,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,40,548708,365770,9145.13,6096.17,0.430298,0.013256,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,40,556636,370224,9277.27,6170.4,0.432072,0.014699,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,40,620006,412257,10333.4,6870.95,0.441116,0.014599,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,40,676568,452445,11276.1,7540.75,0.43304,0.013954,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,40,566791,376164,9446.52,6269.4,0.443115,0.014639,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,45,487927,398827,8132.12,6647.12,0.438948,0.01325,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,45,568883,463800,9481.38,7730,0.442235,0.012985,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,45,534880,437859,8914.67,7297.65,0.430896,0.015369,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,45,517837,422125,8630.62,7035.42,0.433425,0.012913,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,45,445752,365255,7429.2,6087.58,0.428399,0.013409,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,50,788401,787696,13140,13128.3,0.454835,0.006168,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,50,519895,519384,8664.92,8656.4,0.433779,0.013129,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,50,460889,460294,7681.48,7671.57,0.416701,0.015263,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,50,511899,510428,8531.65,8507.13,0.437291,0.013782,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,50,384776,385736,6412.93,6428.93,0.414414,0.01186,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,55,410185,500123,6836.42,8335.38,0.424164,0.014246,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,55,443793,542539,7396.55,9042.32,0.419897,0.014152,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,55,496577,606059,8276.28,10101,0.426535,0.014254,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,55,502354,613240,8372.57,10220.7,0.426145,0.013361,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,55,581212,710028,9686.87,11833.8,0.44935,0.014334,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,60,398816,598540,6646.93,9975.67,0.422104,0.013176,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,60,443795,666126,7396.58,11102.1,0.417481,0.014087,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,60,397067,593721,6617.78,9895.35,0.413784,0.014072,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,60,488790,734240,8146.5,12237.3,0.400775,0.014548,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,60,385367,579233,6422.78,9653.88,0.417042,0.012814,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,65,361140,672070,6019,11201.2,0.393878,0.013094,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,65,394198,731293,6569.97,12188.2,0.39882,0.014336,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,65,497876,925245,8297.93,15420.8,0.403089,0.014923,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,65,380427,705242,6340.45,11754,0.391699,0.013839,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,65,427155,793774,7119.25,13229.6,0.404769,0.013506,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,70,412703,964030,6878.38,16067.2,0.376851,0.016394,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,70,486196,1136319,8103.27,18938.7,0.386008,0.011937,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,70,295633,687742,4927.22,11462.4,0.377328,0.012828,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,70,502288,1170689,8371.47,19511.5,0.403981,0.014497,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,70,629778,1467976,10496.3,24466.3,0.420212,0.001725,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,75,283509,849243,4725.15,14154,0.350948,0.015174,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,75,259160,778493,4319.33,12974.9,0.343616,0.013792,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,75,278633,834986,4643.88,13916.4,0.34827,0.014934,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,75,523111,1567087,8718.52,26118.1,0.37575,0.002945,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,75,282089,845377,4701.48,14089.6,0.352418,0.014833,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,80,296968,1185663,4949.47,19761,0.33254,0.014972,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,80,457191,1823004,7619.85,30383.4,0.356083,0.002204,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,80,336867,1359502,5614.45,22658.4,0.338982,0.014671,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,80,241567,969421,4026.12,16157,0.321118,0.01291,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,80,575066,2297949,9584.43,38299.2,0.360749,0.001482,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,85,453476,2566545,7557.93,42775.8,0.31379,0.001183,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,85,320493,1811665,5341.55,30194.4,0.299492,0.00888,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,85,382036,2176788,6367.27,36279.8,0.305458,0.002786,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,85,206971,1191288,3449.52,19854.8,0.295757,0.012787,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,85,271826,1543623,4530.43,25727,0.288502,0.014839,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,90,361150,3242377,6019.17,54039.6,0.246135,0.00155,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,90,264699,2418838,4411.65,40314,0.242799,0.003331,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,90,360710,3248339,6011.83,54139,0.244481,0.00103,0,0
